,hidden_size_arr,val_acc,test_acc,train_acc
0,2,0.7353333333333333,0.7536,0.7547160493827161
1,4,0.824,0.8298,0.8598518518518519
2,8,0.8508888888888889,0.858,0.9288148148148148
3,16,0.8442222222222222,0.855,0.9119012345679013
4,32,0.8468888888888889,0.8624,0.9706419753086419
5,64,0.8573333333333333,0.8646,0.9566666666666667
6,128,0.8653333333333333,0.8646,0.9848148148148148
7,256,0.8584444444444445,0.8706,0.9971111111111111
8,512,0.8595555555555555,0.8586,0.9992098765432099
9,1024,0.8451111111111111,0.8594,0.9994567901234568
10,2056,0.860444444444444,0.8572,0.99958024691358
